fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Juncus cognatus,Juncus cognatus,Juncus dichotomus,,SPECIES
Bubbia howeana,Bubbia howeana,Zygogynum howeanum,,SPECIES
Desmodium acanthocladum,Desmodium acanthocladum,Pedleya acanthoclada,,SPECIES
Deyeuxia mckiei,Deyeuxia mckiei,Calamagrostis mckiei,,SPECIES
Baumea articulata,Baumea articulata,Machaerina articulata,,SPECIES
Deyeuxia mesathera,Deyeuxia mesathera,Calamagrostis mesathera,,SPECIES
Tylophora linearis,Tylophora linearis,Vincetoxicum forsteri,,SPECIES
Hierochloe rariflora,Hierochloe rariflora,Anthoxanthum rariflorum,,SPECIES
Acacia pruinosa,Acacia pruinosa,Pararchidendron pruinosum,,SPECIES
Blechnum parrisiae,Blechnum parrisiae,Doodia australis,,SPECIES
Mentha satureioides,Mentha satureioides,Mentha saturejoides,,SPECIES
Symphyotrichum squamatum,Symphyotrichum squamatum,Symphyotrichum subulatum,,SPECIES
Chrysanthemoides monilifera subsp. rotundata,Chrysanthemoides monilifera,Osteospermum moniliferum,rotundata,SUBSPECIES
Einadia trigonos subsp. trigonos,Einadia trigonos,Chenopodium trigonon,trigonos,SUBSPECIES
Alternanthera nodiflora,Alternanthera nodiflora,Alternanthera sessilis,,SPECIES
Briza subaristata,Briza subaristata,Chascolytrum subaristatum,,SPECIES
Baumea rubiginosa,Baumea rubiginosa,Machaerina rubiginosa,,SPECIES
Hordeum leporinum,Hordeum leporinum,Hordeum murinum,,SPECIES
Tasmannia stipitata,Tasmannia stipitata,Drimys stipitata,,SPECIES
Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum,Helichrysum luteoalbum,,SPECIES
Olearia elliptica subsp. elliptica,Olearia elliptica,Phaseolaria elliptica,,SPECIES
Paspalidium gracile,Paspalidium gracile,Setaria brownii,,SPECIES
Tylophora barbata,Tylophora barbata,Vincetoxicum barbatum,,SPECIES
Botrychium australe,Botrychium australe,Sceptridium australe,,SPECIES
Einadia trigonos subsp. stellulata,Einadia trigonos,Chenopodium trigonon,stellulata,SUBSPECIES
Tasmannia xerophila subsp. xerophila,Tasmannia xerophila,Drimys xerophila,xerophila,SUBSPECIES
Eucalyptus rossii,Eucalyptus rossii,Eucalyptus racemosa,,SPECIES
Einadia polygonoides,Einadia polygonoides,Chenopodium polygonoides,,SPECIES
Einadia trigonos,Einadia trigonos,Chenopodium trigonon,,SPECIES
Lolium loliaceum,Lolium loliaceum,Lolium rigidum,,SPECIES
Hygrophila angustifolia,Hygrophila angustifolia,Hygrophila ringens,,SPECIES
Sarcocornia quinqueflora subsp. quinqueflora,Sarcocornia quinqueflora,Salicornia quinqueflora,quinqueflora,SUBSPECIES
Eucalyptus campanulata,Eucalyptus campanulata,Eucalyptus andrewsii,,SPECIES
Scleroblitum atriplicinum,Scleroblitum atriplicinum,Blitum atriplicinum,,SPECIES
Malva preissiana,Malva preissiana,Malva australiana,,SPECIES
Spergularia brevifolia,Spergularia brevifolia,Spergularia rubra,,SPECIES
Xanthium occidentale,Xanthium occidentale,Xanthium chinense,,SPECIES
Lastreopsis acuminata,Lastreopsis acuminata,Parapolystichum acuminatum,,SPECIES
Dillwynia parvifolia,Dillwynia parvifolia,Dillwynia retorta,,SPECIES
Plagiobothrys plurisepaleus,Plagiobothrys plurisepaleus,Plagiobothrys plurisepalus,,SPECIES
Gypsophila tubulosa,Gypsophila tubulosa,Psammophiliella tubulosa,,SPECIES
Asparagus plumosus,Asparagus plumosus,Asparagus setaceus,,SPECIES
Neoachmandra cunninghamii,Neoachmandra cunninghamii,Zehneria cunninghamii,,SPECIES
Chrysanthemoides monilifera,Chrysanthemoides monilifera,Osteospermum moniliferum,,SPECIES
Viola sieberiana,Viola sieberiana,Viola hederacea,,SPECIES
Verbena gaudichaudii,Verbena gaudichaudii,Verbena halei,,SPECIES
Hybanthus monopetalus,Hybanthus monopetalus,Pigea monopetala,,SPECIES
Blechnum lineare,Blechnum lineare,Doodia linearis,,SPECIES
Argyrodendron actinophyllum,Argyrodendron actinophyllum,Heritiera actinophylla,,SPECIES
Heterozostera tasmanica,Heterozostera tasmanica,Zostera tasmanica,,SPECIES
Lycopodium deuterodensum,Lycopodium deuterodensum,Pseudolycopodium densum,,SPECIES
Davallia solida var. pyxidata,Davallia solida,Davallia pyxidata,pyxidata,VARIETY
Physalis minima,Physalis minima,Physalis lagascae,,SPECIES
Cerastium vulgare,Cerastium vulgare,Cerastium holosteoides,,SPECIES
Cicendia quadrangularis,Cicendia quadrangularis,Microcala quadrangularis,,SPECIES
Acacia longifolia subsp. sophorae,Acacia longifolia,Acacia sophorae,sophorae,SUBSPECIES
Tylophora woollsii,Tylophora woollsii,Vincetoxicum woollsii,,SPECIES
Persoonia confertiflora,Persoonia confertiflora,Persoonia confertifolia,,SPECIES
Eleocharis equisetina,Eleocharis equisetina,Eleocharis dulcis,,SPECIES
Schinus molle var. areira,Schinus molle,Schinus areira,areira,VARIETY
Microsorum pustulatum subsp. pustulatum,Microsorum pustulatum,Zealandia pustulata,,SPECIES
Hybanthus stellarioides,Hybanthus stellarioides,Afrohybanthus stellarioides,,SPECIES
Solenogyne bellioides,Solenogyne bellioides,Solenogyne gunnii,,SPECIES
Leontodon rhagadioloides,Leontodon rhagadioloides,Hedypnois rhagadioloides,,SPECIES
Paspalidium criniforme,Paspalidium criniforme,Setaria criniformis,,SPECIES
Baumea teretifolia,Baumea teretifolia,Machaerina teretifolia,,SPECIES
Cyathea leichhardtiana,Cyathea leichhardtiana,Alsophila leichhardtiana,,SPECIES
Gomphrena celosioides,Gomphrena celosioides,Gomphrena serrata,,SPECIES
Oxalis radicosa,Oxalis radicosa,Oxalis corniculata,,SPECIES
Argyrodendron trifoliolatum,Argyrodendron trifoliolatum,Heritiera trifoliolata,,SPECIES
Baumea juncea,Baumea juncea,Machaerina juncea,,SPECIES
Oreomyrrhis eriopoda,Oreomyrrhis eriopoda,Chaerophyllum eriopodum,,SPECIES
Olearia flocktoniae,Olearia flocktoniae,Linealia flocktoniae,,SPECIES
Acacia homalophylla,Acacia homalophylla,Acacia omalophylla,,SPECIES
Billardiera macrantha,Billardiera macrantha,Billardiera longiflora,,SPECIES
Callistemon sieberi,Callistemon sieberi,Callistemon paludosus,,SPECIES
Echinostephia aculeata,Echinostephia aculeata,Stephania aculeata,,SPECIES
Trianthema triquetrum,Trianthema triquetrum,Trianthema triquetra,,SPECIES
Wilsonia backhousei,Wilsonia backhousei,Wilsonia backhousii,,SPECIES
Sclerolaena stelligera,Sclerolaena stelligera,Stelligera endecaspinis,,SPECIES
Boronia coerulescens subsp. coerulescens,Boronia coerulescens,Cyanothamnus coerulescens,coerulescens,SUBSPECIES
Sagittaria calycina var. calycina,Sagittaria calycina,Sagittaria montevidensis,calycina,VARIETY
Cyperus bifax,Cyperus bifax,Cyperus rotundus,,SPECIES
Leucopogon ericoides,Leucopogon ericoides,Styphelia ericoides,,SPECIES
Rhagodia parabolica,Rhagodia parabolica,Chenopodium parabolicum,,SPECIES
Eucalyptus leptophylla,Eucalyptus leptophylla,Eucalyptus foecunda,,SPECIES
Geranium solanderi var. grande,Geranium solanderi,Geranium grande,grande,VARIETY
Verbena quadrangularis,Verbena quadrangularis,Verbena brasiliensis,,SPECIES
Baumea acuta,Baumea acuta,Machaerina acuta,,SPECIES
Lastreopsis munita,Lastreopsis munita,Parapolystichum munitum,,SPECIES
Leucopogon biflorus,Leucopogon biflorus,Styphelia biflora,,SPECIES
Pueraria lobata,Pueraria lobata,Pueraria montana,,SPECIES
Lastreopsis microsora subsp. microsora,Lastreopsis microsora,Parapolystichum microsorum,,SPECIES
Senecio gunnii,Senecio gunnii,Erechtites gunnii,,SPECIES
Isotoma axillaris,Isotoma axillaris,Lithotoma axillaris,,SPECIES
Rostellularia adscendens var. adscendens,Rostellularia adscendens,Justicia adscendens,,SPECIES
Eucalyptus corticosa,Eucalyptus corticosa,Eucalyptus aromaphloia,,SPECIES
Neisosperma poweri,Neisosperma poweri,Ochrosia poweri,,SPECIES
Sclerolaena brachyptera,Sclerolaena brachyptera,Sclerochlamys brachyptera,,SPECIES
Tasmannia glaucifolia,Tasmannia glaucifolia,Drimys glaucifolia,,SPECIES
