fullAPCname,binomialAPCname,binomialPOWOname,POWOinfra,taxonRank
Angophora bakeri subsp. crassifolia,Angophora bakeri,Angophora crassifolia,crassifolia,SUBSPECIES
Paspalidium globoideum,Paspalidium globoideum,Setaria globoidea,,SPECIES
Paspalidium gausum,Paspalidium gausum,Setaria gausa,,SPECIES
Rhagodia candolleana subsp. candolleana,Rhagodia candolleana,Chenopodium candolleanum,,SPECIES
Deyeuxia parviseta var. parviseta,Deyeuxia parviseta,Calamagrostis parviseta,,SPECIES
Lespedeza juncea subsp. sericea,Lespedeza juncea,Lespedeza cuneata,sericea,SUBSPECIES
Galenia pubescens,Galenia pubescens,Aizoon pubescens,,SPECIES
Omphalolappula concava,Omphalolappula concava,Lappula concava,,SPECIES
Deyeuxia decipiens,Deyeuxia decipiens,Calamagrostis decipiens,,SPECIES
Verbena caracasana,Verbena caracasana,Verbena litoralis,,SPECIES
Pellaea calidirupium,Pellaea calidirupium,Pellaea calidirupia,,SPECIES
Megathyrsus maximus var. pubiglumis,Megathyrsus maximus,Panicum maximum,pubiglumis,VARIETY
Einadia trigonos subsp. leiocarpa,Einadia trigonos,Chenopodium trigonon,leiocarpa,SUBSPECIES
Rorippa nasturtium-aquaticum,Rorippa nasturtium-aquaticum,Nasturtium officinale,,SPECIES
Rostellularia adscendens var. pogonanthera,Rostellularia adscendens,Justicia adscendens,pogonanthera,VARIETY
Deyeuxia contracta,Deyeuxia contracta,Calamagrostis neocontracta,,SPECIES
Aptenia cordifolia,Aptenia cordifolia,Mesembryanthemum cordifolium,,SPECIES
Cryptocarya nova-anglica,Cryptocarya nova-anglica,Cryptocarya novaanglica,,SPECIES
Einadia nutans subsp. oxycarpa,Einadia nutans,Chenopodium nutans,oxycarpa,SUBSPECIES
Paspalidium albovillosum,Paspalidium albovillosum,Setaria albovillosa,,SPECIES
Ethuliopsis cunninghamii,Ethuliopsis cunninghamii,Epaltes cunninghamii,,SPECIES
Boronia bipinnata,Boronia bipinnata,Cyanothamnus bipinnatus,,SPECIES
Boronia anemonifolia subsp. variabilis,Boronia anemonifolia,Cyanothamnus anemonifolius,variabilis,SUBSPECIES
Eragrostis trichophora,Eragrostis trichophora,Eragrostis cylindriflora,,SPECIES
Blechnum camfieldii,Blechnum camfieldii,Parablechnum camfieldii,,SPECIES
Blechnum gregsonii,Blechnum gregsonii,Parablechnum gregsonii,,SPECIES
Pellaea viridis var. viridis,Pellaea viridis,Cheilanthes viridis,viridis,VARIETY
Pimelea latifolia subsp. elliptifolia,Pimelea latifolia,Pimelea hirsuta,elliptifolia,SUBSPECIES
Eragrostis megalosperma,Eragrostis megalosperma,Sporobolus megalospermus,,SPECIES
Dinebra decipiens subsp. asthenes,Dinebra decipiens,Leptochloa asthenes,asthenes,SUBSPECIES
Desmodium brachypodum,Desmodium brachypodum,Oxytes brachypoda,,SPECIES
Cenchrus purpurascens,Cenchrus purpurascens,Cenchrus alopecuroides,,SPECIES
Symplocos stawellii,Symplocos stawellii,Symplocos cochinchinensis,,SPECIES
Rhyncharrhena linearis,Rhyncharrhena linearis,Vincetoxicum lineare,,SPECIES
Acianthus collinus,Acianthus collinus,Acianthus fornicatus,,SPECIES
Desmodium heterocarpon var. heterocarpon,Desmodium heterocarpon,Grona heterocarpa,heterocarpon,VARIETY
Peperomia blanda var. floribunda,Peperomia blanda,Peperomia leptostachya,floribunda,VARIETY
Dockrillia teretifolia,Dockrillia teretifolia,Dendrobium teretifolium,,SPECIES
Polygonum plebeium,Polygonum plebeium,Polygonum plebejum,,SPECIES
Lysimachia vulgaris var. davurica,Lysimachia vulgaris,Lysimachia davurica,davurica,VARIETY
Hyalosperma glutinosum subsp. glutinosum,Hyalosperma glutinosum,Coronidium glutinosum,glutinosum,SUBSPECIES
Baumea nuda,Baumea nuda,Machaerina nuda,,SPECIES
Desmodium campylocaulon,Desmodium campylocaulon,Desmodiopsis camplyocaulon,,SPECIES
Blechnum patersonii subsp. patersonii,Blechnum patersonii,Austroblechnum patersonii,,SPECIES
Eucalyptus aquatica,Eucalyptus aquatica,Eucalyptus camphora,,SPECIES
Harnieria hygrophiloides,Harnieria hygrophiloides,Justicia hygrophiloides,,SPECIES
Dendrobium melaleucaphilum,Dendrobium melaleucaphilum,Dendrobium tetragonum,,SPECIES
Deyeuxia scaberula,Deyeuxia scaberula,Calamagrostis austroscaberula,,SPECIES
Dodonaea truncatiales,Dodonaea truncatiales,Dodonaea truncatialis,,SPECIES
Isolepis multicaulis,Isolepis multicaulis,Isolepis cernua,,SPECIES
Adriana tomentosa var. tomentosa,Adriana tomentosa,Adriana urticoides,,SPECIES
Goodenia havilandii,Goodenia havilandii,Goodenia havilandi,,SPECIES
Rhagodia ulicina,Rhagodia ulicina,Chenopodium ulicinum,,SPECIES
Deyeuxia carinata,Deyeuxia carinata,Calamagrostis carinata,,SPECIES
Rorippa microphylla,Rorippa microphylla,Nasturtium microphyllum,,SPECIES
Babiana stricta,Babiana stricta,Babiana nervosa,,SPECIES
Callistemon pallidus,Callistemon pallidus,Melaleuca pallida,,SPECIES
Megathyrsus maximus var. maximus,Megathyrsus maximus,Panicum maximum,,SPECIES
Symplocos thwaitesii,Symplocos thwaitesii,Symplocos cochinchinensis,,SPECIES
Sauropus hirtellus,Sauropus hirtellus,Synostemon hirtellus,,SPECIES
Podolobium aciculiferum,Podolobium aciculiferum,Oxylobium aciculiferum,,SPECIES
Wahlenbergia gymnoclada,Wahlenbergia gymnoclada,Wahlenbergia littoralis,,SPECIES
Deyeuxia rodwayi,Deyeuxia rodwayi,Calamagrostis rodwayi,,SPECIES
Rostellularia adscendens var. latifolia,Rostellularia adscendens,Justicia adscendens,latifolia,VARIETY
Marsdenia liisae,Marsdenia liisae,Marsdenia lijsae,,SPECIES
Sorghum bicolor subsp. drummondii,Sorghum bicolor,Sorghum drummondii,drummondii,SUBSPECIES
Microsorum pustulatum subsp. howense,Microsorum pustulatum,Zealandia pustulata,howense,SUBSPECIES
Portulaca intraterranea,Portulaca intraterranea,Portulaca pilosa,,SPECIES
Orites lancifolius,Orites lancifolius,Orites lancifolia,,SPECIES
Paspalidium grandispiculatum,Paspalidium grandispiculatum,Setaria grandispiculata,,SPECIES
Brachyachne ciliaris,Brachyachne ciliaris,Cynodon simonii,,SPECIES
Caladenia hildae,Caladenia hildae,Caladenia testacea,,SPECIES
Diploglottis campbellii,Diploglottis campbellii,Diploglottis campbelli,,SPECIES
Leucopogon recurvisepalus,Leucopogon recurvisepalus,Styphelia recurvisepala,,SPECIES
Cyathea brevipinna,Cyathea brevipinna,Alsophila brevipinna,,SPECIES
Vittadinia arida,Vittadinia arida,Peripleura arida,,SPECIES
Amelichloa caudata,Amelichloa caudata,Stipa caudata,,SPECIES
Papaver somniferum subsp. setigerum,Papaver somniferum,Papaver setigerum,setigerum,SUBSPECIES
Callerya megasperma,Callerya megasperma,Austrocallerya megasperma,,SPECIES
Diuris goonooensis,Diuris goonooensis,Diuris platichila,,SPECIES
Isolepis platycarpa,Isolepis platycarpa,Isolepis cernua,,SPECIES
Craspedia gracilis,Craspedia gracilis,Craspedia glauca,,SPECIES
Einadia nutans subsp. eremaea,Einadia nutans,Chenopodium nutans,eremaea,SUBSPECIES
Chenopodium glaucum,Chenopodium glaucum,Oxybasis glauca,,SPECIES
Plectranthus amboinicus,Plectranthus amboinicus,Coleus amboinicus,,SPECIES
Senecio bipinnatisectus,Senecio bipinnatisectus,Erechtites atkinsoniae,,SPECIES
Montia fontana subsp. chondrosperma,Montia fontana,Montia arvensis,chondrosperma,SUBSPECIES
Nymphaea caerulea,Nymphaea caerulea,Nymphaea maculata,,SPECIES
Chrysanthemoides monilifera subsp. monilifera,Chrysanthemoides monilifera,Osteospermum moniliferum,monilifera,SUBSPECIES
Sisymbrium thellungii,Sisymbrium thellungii,Erucastrum austroafricanum,,SPECIES
Xerochrysum palustre,Xerochrysum palustre,Bracteantha palustris,,SPECIES
Deyeuxia frigida,Deyeuxia frigida,Calamagrostis frigida,,SPECIES
Deyeuxia brachyathera,Deyeuxia brachyathera,Calamagrostis brachyathera,,SPECIES
Limonium lobatum,Limonium lobatum,Limonium thouinii,,SPECIES
Lotus subbiflorus,Lotus subbiflorus,Lotus hispidus,,SPECIES
Crassula tetramera,Crassula tetramera,Crassula sieberiana,,SPECIES
Dinebra decipiens,Dinebra decipiens,Leptochloa decipiens,,SPECIES
Hippocratea barbata,Hippocratea barbata,Loeseneriella barbata,,SPECIES
Deyeuxia imbricata,Deyeuxia imbricata,Calamagrostis imbricata,,SPECIES
Goodenia stephensonii,Goodenia stephensonii,Goodenia stephensoni,,SPECIES
Lycopodium fastigiatum,Lycopodium fastigiatum,Austrolycopodium fastigiatum,,SPECIES
Boronia rigens,Boronia rigens,Cyanothamnus rigens,,SPECIES
Poa fax,Poa fax,Neuropoa fax,,SPECIES
Nierembergia hippomanica,Nierembergia hippomanica,Nierembergia linariifolia,,SPECIES
Physalis ixocarpa,Physalis ixocarpa,Physalis philadelphica,,SPECIES
Blechnum patersonii subsp. queenslandicum,Blechnum patersonii,Austroblechnum patersonii,queenslandicum,SUBSPECIES
Vittadinia hispidula var. hispidula,Vittadinia hispidula,Peripleura hispidula,hispidula,VARIETY
Lophopyrum ponticum,Lophopyrum ponticum,Thinopyrum elongatum,,SPECIES
Baumea muelleri,Baumea muelleri,Machaerina muelleri,,SPECIES
Lepidium hyssopifolium,Lepidium hyssopifolium,Lepidium africanum,,SPECIES
Cephalomanes bauerianum,Cephalomanes bauerianum,Callistopteris baueriana,,SPECIES
Angianthus tomentosus,Angianthus tomentosus,Siloxerus tomentosus,,SPECIES
Pleurosorus subglandulosus,Pleurosorus subglandulosus,Asplenium subglandulosum,,SPECIES
Rosmarinus officinalis,Rosmarinus officinalis,Salvia rosmarinus,,SPECIES
Cressa australis,Cressa australis,Cressa cretica,,SPECIES
Brachyscome chrysoglossa,Brachyscome chrysoglossa,Brachyscome heterodonta,,SPECIES
Dipteracanthus australasicus subsp. australasicus,Dipteracanthus australasicus,Ruellia australasica,,SPECIES
Solanum rostratum,Solanum rostratum,Solanum angustifolium,,SPECIES
Erigeron bilbaoanus,Erigeron bilbaoanus,Erigeron floribundus,,SPECIES
Blechnum medium,Blechnum medium,Doodia media,,SPECIES
Carex pyrenaica var. cephalotes,Carex pyrenaica,Carex cephalotes,cephalotes,VARIETY
Leucopogon trichostylus,Leucopogon trichostylus,Styphelia trichostyla,,SPECIES
Urochloa piligera,Urochloa piligera,Brachiaria piligera,,SPECIES
Senna circinnata,Senna circinnata,Senna artemisioides,,SPECIES
Pogonolepis muelleriana,Pogonolepis muelleriana,Chthonocephalus muellerianus,,SPECIES
Pimelea latifolia subsp. hirsuta,Pimelea latifolia,Pimelea hirsuta,hirsuta,SUBSPECIES
Eutaxia diffusa,Eutaxia diffusa,Eutaxia microphylla,,SPECIES
Callerya australis,Callerya australis,Austrocallerya australis,,SPECIES
Hedysarum coronarium,Hedysarum coronarium,Sulla coronaria,,SPECIES
Senecio biserratus,Senecio biserratus,Erechtites sonchoides,,SPECIES
Piper hooglandii,Piper hooglandii,Macropiper hooglandii,,SPECIES
Oreomyrrhis ciliata,Oreomyrrhis ciliata,Chaerophyllum australianum,,SPECIES
Leucopogon deformis,Leucopogon deformis,Styphelia deformis,,SPECIES
Pultenaea vrolandii,Pultenaea vrolandii,Pultenaea daphnoides,,SPECIES
Anacampseros australiana,Anacampseros australiana,Grahamia australiana,,SPECIES
Boronia anemonifolia subsp. wadbilligensis,Boronia anemonifolia,Cyanothamnus anemonifolius,wadbilligensis,SUBSPECIES
Tylophora biglandulosa,Tylophora biglandulosa,Vincetoxicum biglandulosum,,SPECIES
Seringia arborescens,Seringia arborescens,Seringia platyphylla,,SPECIES
Polypogon lutosus,Polypogon lutosus,Agropogon lutosus,,SPECIES
Dinebra divaricatissima,Dinebra divaricatissima,Diplachne divaricatissima,,SPECIES
Gamochaeta antillana,Gamochaeta antillana,Gamochaeta antillanum,,SPECIES
Hybanthus floribundus subsp. floribundus,Hybanthus floribundus,Pigea floribunda,,SPECIES
Baumea planifolia,Baumea planifolia,Machaerina planifolia,,SPECIES
Baumea johnsonii,Baumea johnsonii,Machaerina johnsonii,,SPECIES
Deyeuxia affinis,Deyeuxia affinis,Calamagrostis affinis,,SPECIES
Isotoma petraea,Isotoma petraea,Lithotoma petraea,,SPECIES
Deyeuxia acuminata,Deyeuxia acuminata,Calamagrostis acuminata,,SPECIES
Oreomyrrhis brevipes,Oreomyrrhis brevipes,Chaerophyllum brevipes,,SPECIES
Jasminum dallachii,Jasminum dallachii,Jasminum dallachyi,,SPECIES
Urochloa subquadripara,Urochloa subquadripara,Brachiaria distachya,,SPECIES
Lipocarpha microcephala,Lipocarpha microcephala,Cyperus leptocarpus,,SPECIES
Cuscuta campestris,Cuscuta campestris,Cuscuta pentagona,,SPECIES
Adriana tomentosa var. hookeri,Adriana tomentosa,Adriana urticoides,hookeri,VARIETY
Deyeuxia crassiuscula,Deyeuxia crassiuscula,Calamagrostis crassiuscula,,SPECIES
Haloragodendron gibsonii,Haloragodendron gibsonii,Glischrocaryon gibsonii,,SPECIES
Cerastium balearicum,Cerastium balearicum,Cerastium semidecandrum,,SPECIES
Brachyachne convergens,Brachyachne convergens,Cynodon convergens,,SPECIES
Elytrigia repens,Elytrigia repens,Elymus repens,,SPECIES
Hierochloe submutica,Hierochloe submutica,Anthoxanthum submuticum,,SPECIES
Baumea gunnii,Baumea gunnii,Machaerina gunnii,,SPECIES
Xerochrysum papillosum,Xerochrysum papillosum,Bracteantha papillosa,,SPECIES
Baeckea crassifolia,Baeckea crassifolia,Rinzia orientalis,,SPECIES
Ipomoea plebeia,Ipomoea plebeia,Ipomoea biflora,,SPECIES
Pleurosorus rutifolius,Pleurosorus rutifolius,Asplenium pleurosorum,,SPECIES
Carex rara subsp. capillacea,Carex rara,Carex capillacea,capillacea,SUBSPECIES
Fimbristylis velata,Fimbristylis velata,Fimbristylis squarrosa,,SPECIES
Oreomyrrhis pulvinifica,Oreomyrrhis pulvinifica,Chaerophyllum pulvinificum,,SPECIES
Haloragodendron monospermum,Haloragodendron monospermum,Glischrocaryon monospermum,,SPECIES
Gilesia biniflora,Gilesia biniflora,Hermannia gilesii,,SPECIES
Desmodium nemorosum,Desmodium nemorosum,Grona nemorosa,,SPECIES
Hymenophyllum moorei,Hymenophyllum moorei,Hymenophyllum pumilum,,SPECIES
Nicotiana forsteri,Nicotiana forsteri,Nicotiana fragrans,,SPECIES
Berberis aquifolium,Berberis aquifolium,Mahonia aquifolium,,SPECIES
Tylophora benthamii,Tylophora benthamii,Vincetoxicum polyanthum,,SPECIES
Sauropus rigens,Sauropus rigens,Synostemon rigens,,SPECIES
Zostera muelleri subsp. capricorni,Zostera muelleri,Zostera capricorni,capricorni,SUBSPECIES
Boehmeria australis,Boehmeria australis,Pouzolzia australis,,SPECIES
Verbena macrostachya,Verbena macrostachya,Verbena officinalis,,SPECIES
Piper excelsum,Piper excelsum,Macropiper excelsum,,SPECIES
Hesperocyparis arizonica,Hesperocyparis arizonica,Cupressus arizonica,,SPECIES
Portulaca filifolia,Portulaca filifolia,Portulaca pilosa,,SPECIES
Blechnum fluviatile,Blechnum fluviatile,Cranfillia fluviatilis,,SPECIES
Heliotropium moorei,Heliotropium moorei,Euploca moorei,,SPECIES
Cupaniopsis baileyana,Cupaniopsis baileyana,Cupaniopsis foveolata,,SPECIES
Leucopogon confertus,Leucopogon confertus,Styphelia conferta,,SPECIES
Diodia teres,Diodia teres,Hexasepalum teres,,SPECIES
Veronica brownii,Veronica brownii,Veronica arguta,,SPECIES
Vittadinia hispidula,Vittadinia hispidula,Peripleura hispidula,,SPECIES
Dinebra decipiens subsp. peacockii,Dinebra decipiens,Leptochloa decipiens,peacockii,SUBSPECIES
Spergularia levis,Spergularia levis,Spergula levis,,SPECIES
Olearia glandulosa,Olearia glandulosa,Eoglandula glandulosa,,SPECIES
Lycopodiella diffusa,Lycopodiella diffusa,Lateristachys diffusa,,SPECIES
Strobilanthes anisophylla,Strobilanthes anisophylla,Strobilanthes persicifolia,,SPECIES
Cylindropuntia pallida,Cylindropuntia pallida,Cylindropuntia rosea,,SPECIES
Poncirus trifoliata,Poncirus trifoliata,Citrus trifoliata,,SPECIES
Paractaenum refractum,Paractaenum refractum,Plagiosetum refractum,,SPECIES
Paspalidium caespitosum,Paspalidium caespitosum,Setaria brigalow,,SPECIES
Xanthium cavanillesii,Xanthium cavanillesii,Xanthium orientale,,SPECIES
Hierochloe redolens,Hierochloe redolens,Anthoxanthum redolens,,SPECIES
Abildgaardia vaginata,Abildgaardia vaginata,Fimbristylis vaginata,,SPECIES
Ptilotus gaudichaudii subsp. parviflorus,Ptilotus gaudichaudii,Ptilotus exiliflorus,parviflorus,SUBSPECIES
Sauropus ramosissimus,Sauropus ramosissimus,Synostemon ramosissimus,,SPECIES
Haloragodendron lucasii,Haloragodendron lucasii,Glischrocaryon lucasii,,SPECIES
Abildgaardia ovata,Abildgaardia ovata,Fimbristylis ovata,,SPECIES
Echinochloa microstachya,Echinochloa microstachya,Echinochloa muricata,,SPECIES
Urochloa gilesii,Urochloa gilesii,Brachiaria gilesii,,SPECIES
Paspalidium breviflorum,Paspalidium breviflorum,Setaria flavida,,SPECIES
Deyeuxia nudiflora,Deyeuxia nudiflora,Calamagrostis nudiflora,,SPECIES
Rostellularia obtusa,Rostellularia obtusa,Justicia obtusa,,SPECIES
Olearia cordata,Olearia cordata,Wollemiaster cordata,,SPECIES
Solanum curvicuspe,Solanum curvicuspe,Solanum brownii,,SPECIES
Caladenia praecox,Caladenia praecox,Caladenia dimorpha,,SPECIES
Microlaena stipoides var. breviseta,Microlaena stipoides,Ehrharta stipoides,breviseta,VARIETY
Deyeuxia microseta,Deyeuxia microseta,Calamagrostis microseta,,SPECIES
Urochloa texana,Urochloa texana,Brachiaria texana,,SPECIES
Hylocereus undatus,Hylocereus undatus,Selenicereus undatus,,SPECIES
Lolium perenne x rigidum,Lolium perenne,Lolium rigidum,rigidum,VARIETY
Desmodium microphyllum,Desmodium microphyllum,Leptodesmia microphylla,,SPECIES
Vicia villosa subsp. eriocarpa,Vicia villosa,Vicia eriocarpa,eriocarpa,SUBSPECIES
Haloragodendron baeuerlenii,Haloragodendron baeuerlenii,Glischrocaryon baeuerlenii,,SPECIES
Gentiana bredboensis,Gentiana bredboensis,Gentiana baeuerlenii,,SPECIES
Tibouchina urvilleana,Tibouchina urvilleana,Pleroma urvilleanum,,SPECIES
Deyeuxia reflexa,Deyeuxia reflexa,Calamagrostis reflexa,,SPECIES
Baumea tetragona,Baumea tetragona,Machaerina tetragona,,SPECIES
Sporobolus jacquemontii Kunth,Sporobolus jacquemontii,Sporobolus pyramidalis,,SPECIES
Drosera humilis Planch.,Drosera humilis,Drosera stolonifera,,SPECIES
Melaleuca densa var. pritzelii Domin,Melaleuca densa,Melaleuca pritzelii,pritzelii,VARIETY
Blechnum orientale L.,Blechnum orientale,Blechnopsis orientalis,,SPECIES
"Ceriops australis (C.T. White) Ballment, T.J.Sm. & J.A. Stoddart",Ceriops australis,Ceriops tagal,,SPECIES
Cyathea baileyana (Domin) Domin,Cyathea baileyana,Alsophila baileyana,,SPECIES
Blechnum penna-marina (Poir.) Kuhn,Blechnum penna-marina,Austroblechnum penna-marina,,SPECIES
Urochloa ramosa (L.) T.Q. Nguyen,Urochloa ramosa,Brachiaria ramosa,,SPECIES
Ficus aculeata var. aculeata,Ficus aculeata,Ficus opposita,,SPECIES
Paspalidium constrictum (Domin) C.E. Hubb.,Paspalidium constrictum,Setaria constricta,,SPECIES
Callistachys lanceolata Vent.,Callistachys lanceolata,Oxylobium lanceolatum,,SPECIES
Rhus taitensis Guill.,Rhus taitensis,Melanococca tomentosa,,SPECIES
Boronia ramosa (Lindl.) Benth.,Boronia ramosa,Cyanothamnus ramosus,,SPECIES
Colysis sayeri (F. Muell. & Baker) Copel.,Colysis sayeri,Dendroconche sayeri,,SPECIES
Cyathea leichhardtiana (F. Muell.) Copel.,Cyathea leichhardtiana,Alsophila leichhardtiana,,SPECIES
Myrsine crassifolia R. Br.,Myrsine crassifolia,Myrsine ralstoniae,,SPECIES
Urochloa foliosa (R. Br.) R.D. Webster,Urochloa foliosa,Brachiaria foliosa,,SPECIES
Drynaria rigidula (Sw.) Bedd.,Drynaria rigidula,Aglaomorpha rigidula,,SPECIES
Paspalidium albovillosum S.T. Blake,Paspalidium albovillosum,Setaria albovillosa,,SPECIES
Blechnum nudum (Labill.) Mett.,Blechnum nudum,Lomaria nuda,,SPECIES
Tylophora barbata R. Br.,Tylophora barbata,Vincetoxicum barbatum,,SPECIES
Urochloa holosericea (R. Br.) R.D. Webster,Urochloa holosericea,Brachiaria holosericea,,SPECIES
Urochloa reptans (L.) Stapf,Urochloa reptans,Brachiaria reptans,,SPECIES
Pittosporum angustifolium G. Lodd.,Pittosporum angustifolium,Pittosporum phillyraeoides,,SPECIES
Tasmannia glaucifolia J.B. Williams,Tasmannia glaucifolia,Drimys glaucifolia,,SPECIES
Swainsona microcalyx var. adenophylla J.M. Black,Swainsona microcalyx,Swainsona adenophylla,adenophylla,VARIETY
Ficus congesta (H. Lév. & Vaniot) H. Lév.,Ficus congesta,Ficus bistipulata,,SPECIES
Pimelea linifolia var. subnervosa Meisn.,Pimelea linifolia,Pimelea glauca,subnervosa,VARIETY
Cynanchum floribundum R. Br.,Cynanchum floribundum,Vincetoxicum floribundum,,SPECIES
Styphelia angustifolia DC.,Styphelia angustifolia,Styphelia laeta,,SPECIES
Alectryon semicinereus (F. Muell.) Radlk.,Alectryon semicinereus,Alectryon coriaceus,,SPECIES
Verbena officinalis var. gaudichaudii Briq.,Verbena officinalis,Verbena halei,gaudichaudii,VARIETY
Cissus cardiophylla (F. Muell.) Jackes,Cissus cardiophylla,Vitis cardiophylla,,SPECIES
Paspalidium distans (Trin.) Hughes,Paspalidium distans,Setaria distans,,SPECIES
Senecio georgianus var. latifolius J.M. Black,Senecio georgianus,Senecio gawlerensis,latifolius,VARIETY
Senecio quadridentatus Labill.,Senecio quadridentatus,Erechtites quadridentata,,SPECIES
Colysis ampla (F. Muell. ex Benth.) Copel.,Colysis ampla,Dendroconche ampla,,SPECIES
Urochloa subquadripara (Trin.) R.D. Webster,Urochloa subquadripara,Brachiaria distachya,,SPECIES
Beaufortia purpurea,Beaufortia purpurea,Melaleuca purpurea,,SPECIES
Calothamnus robustus,Calothamnus robustus,Melaleuca robusta,,SPECIES
Leucopogon ovalifolius,Leucopogon ovalifolius,Styphelia retrorsa,,SPECIES
