taxon_name,aus_native
Acacia kerryana,TRUE
Acacia kettlewelliae,TRUE
Acacia kimberleyensis,TRUE
Acacia kingiana,TRUE
Acacia kochii,TRUE
Acacia kulinensis,TRUE
Acacia kulnurensis,TRUE
Acacia kybeanensis,TRUE
Acacia kydrensis,TRUE
Acacia laccata,TRUE
Acacia lacertensis,TRUE
Acacia lachnophylla,TRUE
Acacia lamprocarpa,TRUE
Acacia lanceolata,TRUE
Acacia lanei,TRUE
Acacia lanigera,TRUE
Acacia lanigera var. gracilipes,TRUE
Acacia lanigera var. lanigera,TRUE
Acacia lanigera var. whanii,TRUE
Acacia lanuginophylla,TRUE
Acacia lapidosa,TRUE
Acacia laricina,TRUE
Acacia laricina var. crassifolia,TRUE
Acacia laricina var. laricina,TRUE
Acacia lasiocalyx,TRUE
Acacia lasiocarpa,TRUE
Acacia lasiocarpa var. bracteolata,TRUE
Acacia lasiocarpa var. bracteolata Long Peduncle variant (G.J.Keighery 5026),TRUE
Acacia lasiocarpa var. lasiocarpa,TRUE
Acacia lasiocarpa var. lasiocarpa Cockleshell Gully variant (E.A.Griffin 2039),TRUE
Acacia lasiocarpa var. sedifolia,TRUE
Acacia lateriticola,TRUE
Acacia lateriticola var. Glabrous variant (B.R.Maslin 6765),TRUE
Acacia lateriticola var. lateriticola,TRUE
Acacia latescens,TRUE
Acacia latifolia,TRUE
Acacia latior,TRUE
Acacia latipes,TRUE
Acacia latipes subsp. latipes,TRUE
Acacia latipes subsp. licina,TRUE
Acacia latisepala,TRUE
Acacia latzii,TRUE
Acacia lauta,TRUE
Acacia lazaridis,TRUE
Acacia leeuweniana,TRUE
Acacia legnota,TRUE
Acacia leichhardtii,TRUE
Acacia leiocalyx,TRUE
Acacia leiocalyx subsp. herveyensis,TRUE
Acacia leiocalyx subsp. leiocalyx,TRUE
Acacia leioderma,TRUE
Acacia leioderma var. Fitzgerald River N.P. variant (A.S.George 9922),TRUE
Acacia leioderma var. leioderma,TRUE
Acacia leiophylla,TRUE
Acacia lentiginea,TRUE
Acacia leprosa,TRUE
Acacia leprosa var. crassipoda,TRUE
Acacia leprosa var. graveolens,TRUE
Acacia leprosa var. leprosa,TRUE
Acacia leprosa var. magna,TRUE
Acacia leprosa var. uninervia,TRUE
Acacia leptalea,TRUE
Acacia leptocarpa,TRUE
Acacia leptoclada,TRUE
Acacia leptoloba,TRUE
Acacia leptoneura,TRUE
Acacia leptopetala,TRUE
Acacia leptophleba,TRUE
Acacia leptospermoides,TRUE
Acacia leptospermoides subsp. leptospermoides,TRUE
Acacia leptospermoides subsp. psammophila,TRUE
Acacia leptostachya,TRUE
